NUMERO> ;NOME>                    ;SNS>       ;ABO;Rh>
666428;Rosalyn Barron;444762286;AB;+
160931;Sacha Hudson;763159341;A;-
357382;Jarrod Bruce;531950456;AB;+
248898;Kyla Rice;578264371;AB;+
175748;Matthew Johns;406233673;B;+
292924;Stewart Witt;572064151;B;+
343495;Ifeoma Cleveland;362279079;B;-
345649;Ezekiel Johnson;818724335;AB;-
479369;Jerome Baldwin;781112047;B;-
178274;Tatum Reid;893242454;O;+
537588;Phoebe Beasley;493750875;O;-
548711;Timothy Fernandez;467819069;A;+
419594;Hedwig Macdonald;890945820;O;+
795652;Harrison Rollins;921313893;O;+
196338;Hayfa Love;162271231;B;-
393972;Lana Walker;883203217;B;-
700791;Steel Oneill;209828639;B;+
415985;Alvin Miranda;565253774;A;-
636760;Deacon Banks;909932726;AB;-
877773;Madeline Watson;592650343;AB;-
475680;Marcia Hendricks;384238335;B;-
908869;Joan Wilcox;892043943;AB;-
657579;Henry Cote;366853544;AB;-
578254;Haley Durham;351075334;O;-
714866;Uta Osborne;693343290;O;-
626244;India Perry;312088941;B;-
548835;Jenna Mcbride;521934170;AB;+
186182;Madison Carr;499920268;O;-
279384;Clio Klein;752604246;AB;-
341747;Nola Spencer;921366659;O;+
122216;Dylan Tucker;372693358;O;-
154931;Kadeem Bass;519943356;A;-
855034;Erasmus Savage;391642668;B;+
541458;Anika Farmer;518897768;AB;+
858735;Athena Reyes;843397999;AB;+
656461;Ryan Waller;866499622;B;-
992497;Rebekah Madden;400405337;A;-
903457;Dolan Albert;912624599;AB;+
436929;Quamar Larson;331751190;O;+
658669;Azalia Guy;496587670;O;-
957879;Paul Lara;250729234;O;-
198652;Emerson Maddox;143231536;AB;-
841930;Ian Mendez;649971259;AB;-
289320;Fiona Fisher;349558813;A;-
834560;Leigh Lucas;767657568;AB;+
888515;Justina Frye;130756449;AB;+
388882;Moana Park;799808880;A;-
444392;Nigel Copeland;621795831;A;-
267892;Victor Bright;862253979;AB;+
821052;Branden Collier;427926479;O;+
218393;Garrett Peterson;231603531;AB;-
540735;Roary Molina;201545618;B;+
993531;Amity Stanley;816086486;O;-
855509;Rebecca Kerr;411212439;AB;+
937238;Tiger Berg;776189605;AB;+
857041;Mannix Baird;778842293;O;+
397662;Mira Walker;951380607;AB;+
863281;Connor Camacho;315186153;O;+
921381;Regan Dotson;507460017;AB;+
507187;Sheila Andrews;760515184;B;+
733174;Jakeem Barnes;462684730;A;-
664750;Dane Branch;316274823;O;-
511965;Teagan Collins;537889805;B;+
849804;Jacqueline Sweet;882918446;A;-
221982;Bernard Trevino;140645198;AB;+
462182;Adria Delgado;378678259;B;-
605868;Dawn Gross;515197680;A;+
134212;Candice Alvarez;893709617;B;-
847883;Kelsey Gray;302968611;AB;-
124229;Deanna Dixon;318667343;O;+
547947;Cassidy Walters;410945937;A;-
290308;Lucas Hayes;304999319;A;-
204828;Justina Simpson;796902698;A;-
956907;Lawrence Small;794216774;O;+
423338;Chantale Vang;664048944;A;-
716640;Kristen Anderson;122752841;O;-
977699;Felix Combs;208522567;B;+
827127;Roanna Mercado;218835961;B;-
803443;Amena Duncan;621945614;B;+
130074;Ariel Barry;272298587;B;-
923482;Hollee Weiss;979118517;A;+
275279;Naomi Lawrence;243852388;A;+
903756;Carissa Cook;418000023;A;+
660441;Ira Sims;250899425;A;-
770906;Neville Powell;947996607;O;+
754882;Kellie Garcia;776271566;AB;+
690515;Quincy Nolan;841981255;B;-
530542;Dale Berry;151232795;AB;+
295046;Judith Collins;703191439;O;-
434228;Montana Strong;674855072;O;-
380727;Regina Buckner;738522939;B;+
203320;Dominique Walton;530923422;AB;-
533322;Holmes Dawson;133637129;B;-
681567;Yeo Levine;363013108;O;-
936102;Delilah Evans;825094251;AB;+
219574;Charlotte Bryant;456694956;AB;+
111064;Kylie Camacho;458485749;O;+
937511;Lane Mendez;321729407;O;+
202829;Oscar Moreno;736808251;A;-
319519;Wynne Riddle;939462732;O;+
381112;Paul Gonzalez;197402267;A;+
422787;Courtney Cruz;997780614;B;-
446115;Dillon Everett;884673758;O;-
132206;Dylan Dorsey;169870781;A;+
752116;Hanae Mccullough;740653139;B;+
856543;Micah Graves;827845573;O;-
921035;Gay Bauer;208119707;A;-
210625;Kristen Anderson;878099504;O;+
708707;Sade David;122485779;B;+
897598;Rachel Phelps;100629171;A;-
718764;Donna Garcia;220712769;B;-
653709;Charde Logan;890769781;AB;+
479629;Aurora Lynch;574833655;O;-
975136;McKenzie Mcdowell;665484386;O;+
574832;Jaime Hudson;111683062;B;-
800413;Branden Underwood;809064763;O;-
545785;Travis Greene;833676474;AB;+
912037;Orli Chambers;309767501;A;-
325403;Xanthus Evans;754049511;A;+
527693;Zephr Mcintyre;784816822;B;+
306672;Blaze Decker;538017884;AB;-
885226;Abraham Rice;575043147;AB;+
173427;Roanna Mckinney;871037446;A;+
551645;Claudia Griffith;245940636;O;+
618777;Nissim Slater;964533528;B;+
258193;Alice Skinner;868802340;A;+
729187;Chanda Castaneda;539734613;O;+
799951;Jakeem Stephenson;753640682;A;+
641868;Omar Donovan;183303119;A;-
554925;Tanek Cross;819707056;AB;-
896776;Quinlan Dickson;928868054;A;+
264862;Cheyenne Sharp;480565449;O;-
677146;Amal Marshall;867034066;A;-
491187;Xenos Wright;567185542;O;-
616922;Scarlett Olsen;953396168;A;-
687585;Leah Santiago;881076279;O;-
950414;Rajah Clark;764673117;A;+
536109;Beck Cannon;801164798;A;+
755974;Leo Acevedo;232801321;A;+
229012;Halla Whitfield;201784952;O;+
523889;Tamekah Bullock;942993792;O;+
249775;Driscoll Barton;588200957;O;-
847690;Yael Quinn;274352453;A;+
501597;Brynne Brennan;284246738;AB;+
138383;Tarik Miles;126637287;B;-
189393;Aurelia May;320175704;A;+
818140;Colby Howard;800368794;O;+
629428;Connor Richardson;355085992;A;+
857406;Fulton Holloway;948323388;B;+
779008;Blair Patterson;274897556;B;+
496117;Ila Kane;220022434;B;+
799178;Malik Wong;536360670;B;-
337074;Elizabeth Delaney;189064316;O;+
588596;Angelica Brown;642921718;A;-
814106;Keane Burnett;713168487;B;+
360515;Sydney Keith;546267049;A;+
985492;Sebastian Castro;456139899;O;-
326965;Briar Bird;699939261;AB;+
723047;Lewis Pena;406972608;B;+
413450;Leigh Lang;994442942;B;-
798397;Gareth Mcgowan;873546142;O;-
694955;Zeus Thompson;743886391;B;-
629206;Deirdre Britt;908745993;A;+
825258;Christen Graham;875486354;B;-
274640;Petra Day;153317790;B;+
616649;Irma Lamb;749921440;O;-
975443;Stewart Walls;440570843;A;+
809557;Gillian Mcdonald;376789278;A;+
705208;Bruno Alford;292202028;A;-
403122;Amber Jones;403772782;A;+
501136;Xena Dunlap;245382148;O;-
859144;Malachi Carlson;511219584;A;+
451412;Melissa Carroll;890221707;O;+
807111;Ivory Joyce;933526967;A;-
979343;Ray Dalton;708430713;AB;+
860456;Grady Mathews;263187336;O;-
750661;Gareth Burt;991904639;B;-
869279;Quynn Terrell;457340014;O;+
162546;Bradley Boyd;444188356;B;-
404384;Basil Moon;448563524;AB;+
634201;Cailin Hopper;983850556;O;-
572386;Camilla Simon;482523272;B;-
809958;Hayden Mueller;111737161;O;-
520909;Georgia Ball;694979840;B;-
475064;Kirk Albert;717051507;B;-
778591;Ezekiel Tran;873349825;B;-
166330;Christopher Welch;263869928;O;-
558346;Caleb Bernard;275014341;A;+
357131;Elton Ruiz;435078879;B;-
211709;Anika Spears;333184450;O;+
470443;Merritt Freeman;314804052;O;-
978868;Yasir Waller;931169570;B;-
170450;Rafael Foley;152039452;AB;+
150701;Brianna Cardenas;327769936;A;-
686596;Drew Hays;814591864;O;+
850821;Ulric Fulton;623851515;O;-
602368;Grady Mclaughlin;908831444;O;-
226329;Ciaran Pickett;656311117;AB;-
182903;Cedric Scott;498441879;B;+
593975;Carson Meyers;750071105;B;+
513130;Adrienne Morgan;961616890;A;+
606153;Lillith Houston;809600792;B;-
579821;Dominique Bonner;123082049;AB;-
774908;Zane Meyer;468958660;O;+
151767;Shelley Ochoa;478011233;A;-
758331;Sage Douglas;789997778;B;+
858914;Henry Mcdaniel;950814310;O;+
399763;Matthew Guzman;287458607;O;-
497554;Amir Forbes;892852605;AB;-
481350;Ferdinand Carr;159978687;O;-
369570;Madonna Petty;394188373;B;+
957221;Amber Graves;312061981;B;-
738815;Lacota Dotson;792240403;O;+
720985;Alika Ballard;687053321;A;+
179926;Quon Blankenship;115523902;B;+
210750;Sacha Woodward;532495712;O;+
149311;Tate Green;317186878;B;+
396993;Zeph Flynn;272129959;AB;+
453469;Hadassah Erickson;907472716;A;+
299300;Naomi Leblanc;680389682;AB;-
869056;Orli Simon;765132984;A;-
300535;Price David;260309629;O;-
220866;Zelda Parrish;687214717;AB;-
623306;Andrew Booth;661205936;A;+
968668;Vera Sherman;717030056;B;-
549273;Evelyn Brady;696596421;A;-
535586;Zorita Barron;558473313;B;+
815091;Randall Wilkinson;640750991;B;-
194622;Barbara Bates;398051792;O;-
786961;Florence Benjamin;309957425;B;-
888985;Amery Cantu;178600358;O;+
346357;Christen Hogan;717727483;B;+
828657;Chaney Huff;898250588;A;+
456045;Desirae Maldonado;721611381;O;-
756971;Myles Mcmahon;840090609;B;+
866648;Charity Davis;474719671;O;+
777157;Hilda Stuart;664259695;A;+
852256;Suki Henry;307805025;O;+
632870;Henry Wooten;568986609;O;-
186934;Dieter Gibson;267395864;A;+
294817;Aladdin Berg;845848819;O;+
129176;Elvis Leonard;580082248;B;-
455903;Ciara Barrett;157461870;AB;+
195807;Lenore York;324277953;O;+
696987;Fletcher Ramos;410796496;AB;+
324878;Morgan Hayden;883882071;AB;-
203807;Craig Parker;848961781;A;+
589361;Jolie Mcintyre;990127620;B;-
227350;Oleg Sawyer;205744311;AB;+
768858;Tatyana Armstrong;432700983;O;-
805771;Angelica Lang;913263464;AB;-
693491;Diana Cote;212834533;O;+
246345;Chastity Galloway;393409308;B;-
643098;Burton Briggs;240221221;O;-
917520;Xerxes Pennington;713841696;A;-
101780;Selma Mcleod;941480196;AB;+
456838;Robert House;257318416;O;-
586462;Herman Barrera;700203471;B;+
254403;Derek Myers;524064880;AB;-
782397;Ira Lara;957485561;AB;-
635064;Latifah Mcmillan;943789188;AB;-
209906;Keiko Compton;517247510;AB;-
647692;Alec Ortega;271170018;O;-
263074;Hedy Abbott;200228440;B;-
652736;Sawyer Sheppard;305534951;AB;-
826409;Reuben Haynes;640664515;AB;-
225605;Keegan Arnold;728445864;B;-
886392;Grace Cotton;147532257;B;-
164810;Anne Hood;529357350;B;-
112415;Gisela Williams;312453076;O;+
195371;Dante Mccall;211018179;AB;-
204359;Noah Buchanan;658822076;O;+
622759;Aiko Lyons;691413809;A;-
714746;Silas Patel;870572135;A;-
765780;Amity Davis;697725699;AB;-
742538;Destiny Britt;794845651;AB;+
599046;Dacey Mack;442142243;O;-
382348;May Britt;675332234;B;+
873827;Nora Fry;451061713;O;-
812357;Sade Nash;666905655;AB;+
747828;Sasha Beck;291576457;O;+
924630;Dorian Tran;907661930;O;+
956294;Walker Lester;485532245;O;+
738189;Ariel Mcdonald;993311483;A;+
169071;Jaquelyn Everett;141977458;O;-
372348;Benedict Cook;824209885;B;-
114713;Jemima Huber;245915103;A;-
638249;Neville Dillard;132198655;A;+
582514;Gabriel Harvey;215724325;B;-
195505;Justine Goff;627621223;O;-
181869;Aline Warner;830299454;AB;-
829510;Marah Murray;626149506;A;-
704076;Gillian Pierce;931525066;B;+
567193;Lana Hartman;467177867;A;-
985821;Autumn Payne;552851026;O;-
526904;Finn Solis;346473513;B;+
249720;Reece Baird;562634473;O;-
256910;Fay Allen;217722142;O;-
429449;Lenore Houston;734407635;O;+
310618;Tobias Nixon;801794303;B;+
675333;Colt Chambers;648699252;B;+
578454;Gail Blake;752783631;O;-
556900;Calista Ramsey;643616247;O;-
907029;Imani Bradley;292251597;AB;+
177716;Orson Obrien;686550866;A;-
718877;Emily Dean;103767333;B;+
925748;Graham Santana;559764037;O;+
158286;Hanae Delaney;544800620;AB;-
846229;Lisandra Knox;200802654;A;+
427805;Xavier Barrett;300596961;O;-
353073;Justina Tanner;690585851;O;-
988451;Colton Carpenter;383689914;A;-
531663;Zachery Cameron;891301005;A;-
777241;Pearl Elliott;546229206;AB;+
986607;Gay Hudson;274108086;O;+
234558;Lev Mccray;261787513;AB;-
170834;Hakeem Tanner;745211098;O;+
946299;Neville Bradford;815307143;O;+
472021;Myles Kelly;990504752;A;+
516518;Fritz Petersen;271052817;O;-
954882;Jesse Morse;118613773;AB;+
144397;Florence Goodman;120737755;B;-
270421;Marsden Robertson;578590070;A;-
472414;Fallon Mooney;636124243;O;-
494768;Ray Albert;962370328;O;+
330783;Ginger Coffey;860779805;O;+
946750;Allegra Stafford;538300787;O;-
800198;Amaya Finch;361862607;AB;+
726210;Iola Acosta;166460785;B;-
408563;Gabriel Manning;849748061;B;-
764720;Hasad Tyson;334339739;O;+
788370;Victoria Osborne;382063396;AB;-
689559;Thaddeus Phillips;298241057;O;+
496639;Buckminster Willis;202261986;O;-
630810;Travis Hughes;792102753;B;+
237694;Delilah Harvey;839062325;A;-
920668;Arthur Yang;483983735;AB;-
487475;Bertha Delaney;825653120;A;+
352625;Jin Kim;851851003;A;+
200716;Ivor Mccoy;988418580;O;-
991467;Oscar Macdonald;620260394;B;+
178453;Damon Gaines;567083705;A;-
949865;Randall Short;730950793;AB;+
681479;Ryder Tucker;455955624;A;-
430838;Tyrone Roberson;882641945;O;-
284498;Rinah Huber;212364311;O;-
493399;Gillian Oneill;391786460;A;-
568434;Xavier Duran;816229596;O;+
354424;Ori Brewer;634587237;O;-
105963;Naomi Gibbs;396529233;A;-
802495;Gabriel Burns;863836564;O;+
311552;Craig Elliott;419756895;O;+
946775;Josephine Riddle;835919286;A;-
659972;Jerome Pacheco;740114381;B;-
137127;Neil Hester;887323761;AB;-
616568;Quentin Dennis;940741535;O;-
207198;Maisie Joseph;529801174;A;+
973668;Abraham Winters;448452117;AB;+
648622;Arthur Shepard;841778890;O;+
737557;Harlan Hunter;710149081;AB;-
404843;Grady Gilbert;265096131;AB;-
825525;Maryam Sanford;320125517;A;-
316794;Levi Smith;272288284;AB;-
789735;Aretha Riddle;850004001;O;+
638722;Pearl Bender;373016058;A;-
651442;Kasimir Rodriguez;121323203;A;+
808636;Zoe Delacruz;345311517;O;+
970774;Lael Walters;606316952;O;+
585643;Zenia Mullen;137632144;AB;+
270213;Kyla Phelps;610570685;AB;-
205090;Burke Sosa;888234011;O;+
249373;Ferris Russo;147724989;O;+
430301;Quail Jenkins;722279236;A;-
864807;Jorden Mcclain;504428425;AB;-
182137;Kitra Moss;921446285;AB;+
738621;Chancellor Fox;100273087;O;-
404915;Ferdinand Moss;506653008;AB;+
924008;Anthony Roach;572679071;A;+
977459;Lacey Patrick;450065355;O;-
258171;Christine Hebert;778227037;A;-
400985;Harrison Reilly;899355210;A;-
964087;Ferdinand Acevedo;516687395;AB;-
949083;Isaac Dillon;288063938;B;+
501167;Claudia Delacruz;531640958;AB;+
787056;Yasir Calhoun;728807274;A;-
789013;Germaine Valenzuela;604749837;O;+
727718;Burke Rasmussen;536886282;O;+
311675;Valentine Reid;853543185;A;-
247885;Cynthia Atkinson;682928405;B;-
488589;Isabelle Potts;361528929;AB;+
390679;Omar Kaufman;447097108;B;-
197632;Hillary Aguilar;367059134;A;+
183703;Cody Rush;208437663;O;-
859660;Wendy Macdonald;282923514;O;-
518631;Micah Rogers;978051672;B;-
926194;Hope Bowen;929081492;O;+
138182;Wade Calhoun;258075398;B;+
864049;Lila Hancock;399742067;AB;+
165278;Lacy Prince;817839553;O;-
199958;Nora Clements;747564948;B;-
173524;Samson Maynard;184878417;B;+
281528;Tana Sanchez;467880450;B;-
115536;Martin Klein;118364366;B;+
179174;Daryl Wong;468585929;AB;-
819920;Mary Snider;711411222;O;+
286922;Nolan Dudley;217320581;A;-
913368;Cally Morris;754815328;AB;+
456351;Blake Davidson;552830878;O;+
668678;Brianna Malone;256298564;B;-
757700;Rahim Suarez;368169990;AB;-
689678;Nerea Cunningham;571996974;O;+
401700;Bianca Boyer;318684851;AB;+
602729;Uma Cote;228011714;O;-
139680;Orla Whitehead;665561492;AB;-
505227;Jordan Mcclain;446693654;B;+
793627;Bradley Hester;698844798;B;+
821645;Jarrod Mcdaniel;285963920;A;-
265789;Ava Bennett;226021201;AB;+
221015;Marny Shaffer;877857155;AB;+
399425;Tiger Coleman;504744849;AB;+
188634;Zeph Duran;992008536;B;+
558418;Micah Melton;861468218;AB;-
699117;Cora Ross;222693136;AB;+
968309;Bethany Sampson;571827690;B;+
997222;Melyssa Clements;893636743;A;+
454243;Adrienne Hopkins;444549762;A;-
766971;Rogan Mcneil;125035357;B;-
941527;Margaret Clay;809383290;B;-
737407;Ishmael Knox;903990742;AB;+
195042;Rinah Mckay;902974748;B;+
264323;Jocelyn Roberts;727250682;B;+
402392;Daryl Herrera;438403074;AB;+
933405;Ulla Cline;977646807;AB;-
331510;Idola Blankenship;277561990;AB;-
431247;Christopher Vazquez;705601958;B;+
410408;Chandler Morgan;719094212;A;+
321402;Anne Marquez;579619518;O;+
624964;Keiko Rogers;130631987;O;-
241137;Amanda Deleon;343419494;A;-
305102;Garrison Gross;516124979;A;+
997157;Jael Beasley;109286740;A;-
148846;Christen Anthony;274464840;O;-
544596;Kameko Acevedo;945802050;B;+
914038;Gage Hensley;582316616;A;-
628332;Sage Burch;778739171;B;+
125212;Yasir Lynn;103590276;A;+
235786;Knox Espinoza;504140635;B;+
851133;Alfreda Acevedo;857680319;B;+
243648;Salvador Rodgers;969763955;AB;+
214374;Aurora Murphy;394038354;O;-
814369;Mira Wilcox;529576745;A;+
695787;Octavia Owens;680284460;A;-
567137;Axel Frye;696385661;O;+
465716;Melissa Patel;903047462;AB;-
823416;Keelie Lee;697159229;O;+
930144;Moses Bell;166865472;B;-
687121;Alexander Marsh;492057297;B;-
113565;Alfonso Peters;648189035;O;+
695717;Suki Scott;710488714;A;+
466718;Cameran Rojas;563826538;B;-
107225;Nigel Caldwell;959675803;O;-
819538;Hector Strickland;292319902;AB;+
844966;Mufutau Rich;186152345;B;-
874381;Harper Horton;489460295;A;-
656279;Elizabeth Taylor;153335713;B;-
843433;Ruth Byers;164120083;B;-
467025;Vernon Hurley;900916215;O;-
805100;Rafael Cummings;717575279;AB;+
756264;Kaitlin Terry;498414251;B;+
331911;Eleanor Saunders;687576072;A;+
776374;Georgia Hahn;618503923;O;+
277386;Harriet Bender;460677788;AB;-
138936;Reese Sexton;670946662;B;+
405614;Charlotte Delgado;991761568;B;+
149511;Renee Rojas;939168016;AB;+
457914;Mia Conway;355773623;O;-
441500;Lynn Park;497134910;A;+
473738;Hilary Orr;107886619;O;+
941901;Nehru Shannon;532789643;AB;-
720749;Deirdre Zamora;753809173;A;+
560927;Keaton Hunt;628908790;O;-
373789;Allen Bush;844217143;AB;-
555824;Anika Conner;787996266;AB;+
812945;Armand Kinney;935018294;A;+
752553;Nehru Preston;439687603;A;-
762506;Cedric Gomez;517103347;O;-
101300;Hayden Owens;993893038;O;+
788376;Erich Barron;632932547;O;-
677963;Kathleen Bradley;211003341;B;-
271553;Gretchen Nelson;540259390;O;-
677716;Myra Ray;822590883;AB;-
507847;Hedley Burch;764993454;O;-
110244;Dillon Knapp;540988814;A;-
989851;Aidan Clay;819954927;A;+
838467;Blythe Jackson;599176010;A;-
341742;Chase Macias;795762651;A;-
241766;Tanisha Dyer;928154670;AB;+
966143;Palmer Nixon;630613725;O;-
818401;Jesse Hendrix;970493827;A;-
289795;Galvin Booker;118941240;B;+
116635;Colt Irwin;121929418;AB;-
862310;Eden Atkinson;299051391;AB;-
792539;Jada Christensen;865256966;O;+
858962;Mona Pennington;370892611;A;-
428737;Ima Rivers;608998269;B;+
851182;Carl Ross;272723493;AB;-
840229;Zenia Miller;750683628;A;-
482712;Tobias Moody;202999711;A;+
317717;Melodie Salas;174555296;AB;-
805694;Amber Merrill;297575476;O;+
149942;Joan Fulton;275353441;O;-
403742;Summer Huffman;336967081;B;-
391151;Isabella Klein;167302714;B;+
421663;Gwendolyn Stephens;840301323;O;-
533419;Xaviera Manning;757567713;A;-
118975;Nathaniel Hines;882671574;O;-
502092;Travis Young;180212563;B;-
861574;Austin Ruiz;186523038;B;-
551670;Edward Dunn;357225097;B;+
247436;Troy Burnett;568837366;A;-
658062;Drake Monroe;700480351;A;-
258628;Tashya Dudley;975408713;B;-
959546;Hannah Cooley;170047385;B;+
878813;Martin Glass;992231802;A;-
505898;Daria Justice;394104289;O;+
171336;Stacy Huber;883856000;B;+
650063;Emma Villarreal;356849342;O;-
678043;Mira Blake;296985285;O;+
651694;Colt Lucas;180401640;A;+
523749;Aretha Sears;180671967;B;-
543231;Jessamine Moss;977182814;A;-
917174;Zephr Richards;810962464;O;+
582173;Robin Heath;973746502;O;+
933323;Acton Ratliff;933713464;B;-
378198;Jasper Vinson;672182128;A;+
292879;Paul Ellison;319978139;B;-
793653;Willow Puckett;869728384;O;+
182218;Irene Pennington;291625643;AB;+
421889;Lavinia Hawkins;685184384;O;-
454713;Shannon Fuller;715561238;B;+
635085;Quinlan Craig;370911520;O;-
793726;Ross Rosario;216384078;B;+
172801;Valentine Young;822435972;O;-
716796;Frances Francis;238538795;AB;-
400231;Dacey Hayden;560972859;B;-
314839;Carlos Weiss;988718317;AB;-
733524;Maris Baird;643616551;A;-
852657;Hedley Cole;320195712;B;+
197873;Darius Berry;614809574;B;+
861989;Lynn Frye;553886771;A;+
306611;Jonah Valencia;878607617;A;-
114521;Hakeem Gregory;306530324;O;+
323354;Derek Crosby;369043846;O;-
309725;Charity Baker;494621936;AB;-
388567;Quinn Hansen;398573232;O;-
320947;Phyllis Atkins;465445205;B;-
248939;Yen Dickerson;853403340;B;+
615339;Ruth Sharp;668635958;AB;+
129584;Benedict Sharpe;710499877;AB;+
436953;Nathan Hardin;227805296;B;+
932807;Sebastian Velez;400960573;A;-
588948;Fleur Moore;774839445;B;+
238719;Angela Short;920605014;A;-
351469;Cole Taylor;268804011;B;+
551136;Asher Harrell;895557915;B;-
801717;Oren Terrell;110605730;AB;+
579713;Raymond Byers;268226499;AB;-
466336;Miranda Dodson;915185360;B;+
774468;Joshua Blanchard;687070538;AB;-
727927;Adara Luna;750718181;O;+
160480;Wilma Abbott;421044916;A;-
997927;Sonya Sweeney;496856276;AB;-
230942;Kessie Hurley;604241490;AB;+
937990;Leslie Jennings;744313951;AB;+
512152;Zane Serrano;759860333;AB;-
847372;Joseph Carson;265601359;A;-
795911;Mona Bates;191531207;AB;+
879790;Nicole Watkins;647114402;O;+
679924;Ariel Parrish;322164551;B;-
607423;David Gallegos;730654023;O;+
398624;Avram Norris;425455675;B;+
724710;Emmanuel Koch;194409996;O;+
403716;Ruth Tran;502024365;B;+
604142;Dominique Gonzales;636754638;O;-
604195;Nadine Carrillo;996900264;A;+
198625;Iola Clayton;794637069;O;-
671268;Dalton Guthrie;950604096;B;+
767133;Michael Larsen;927544349;O;-
706176;Seth Dawson;505675458;A;+
523081;Chloe Vance;175731645;B;+
872031;Blythe Woods;529264468;O;-
898629;Venus Rhodes;293529789;A;-
100488;Ezekiel Ryan;568106472;AB;+
835112;Winifred Harris;890801509;A;-
313858;Abel Marshall;946826166;A;-
592661;Lenore Little;353790123;B;+
268767;May Cotton;229064292;AB;+
