NUMERO> ;NOME>                    ;SNS>       ;ABO;Rh>;SEXO>;DATA NASC.> ;RUA>                    ;CÓD. POSTAL>;LOCALIDADE>     ;PAÍS>        ;E-MAIL>                                   ;TEL.>     ;TELM.>    
265963;Ivory Robbins;454103101;AB;-;F;10-04-1968;623-9987 Pede, Ave;4567-861;Porto;Portugal;arcu.Vestibulum.ut@molestie.net;288943775;948947725
251402;Igor Sargent;161029801;AB;-;M;02-09-1981;247-5604 Pharetra. Av.;4283-486;Lisboa;Portugal;gravida.nunc.sed@euismod.ca;225995591;974179327
716120;Katelyn Reid;220988260;AB;-;F;13-12-1957;P.O. Box 693, 4653 Semper. Av.;4282-884;Porto;Portugal;hendrerit@convallisin.ca;221131846;959981925
459981;Adrian Owen;445775354;A;-;M;25-11-1978;Ap #425-7946 Ac Avenue;4912-759;Braga;Portugal;pede.Cras@anteipsumprimis.co.uk;263814584;982848981
308332;Vielka Hunt;942359019;A;+;M;27-02-1993;P.O. Box 131, 6600 Odio. Road;4398-159;Lisboa;Portugal;velit.egestas.lacinia@nonummyut.com;279661715;911341683
754132;Maryam Lawson;476156673;A;-;M;28-02-1992;P.O. Box 602, 6405 Ut Street;4922-359;Lisboa;Portugal;ac.eleifend@Quisquevarius.com;248991683;926854148
647717;Ayanna Harper;898014627;B;-;M;16-07-1967;9095 Dictum. Av.;4923-633;Coimbra;Portugal;pharetra.felis.eget@augueac.com;221436983;991679583
338096;Anthony Lara;585428031;O;-;F;28-02-1955;P.O. Box 519, 3574 Sit St.;4496-485;Barcelos;Portugal;ullamcorper.velit.in@enim.co.uk;278618111;966794632
796929;Stacy Mercer;375794885;A;-;F;05-04-1992;598-9160 Curabitur St.;4813-458;Porto;Portugal;lorem@ipsumleo.com;253678935;939899268
848433;Uta Singleton;563422353;O;-;M;16-03-1977;911-2881 Et Avenue;4379-364;Braga;Portugal;lorem.ipsum@ultriciessemmagna.net;296982193;944197449
540674;Keefe Roman;337551938;A;+;F;22-08-1989;1987 Nibh. Street;4296-935;Lisboa;Portugal;volutpat@tempor.net;293253418;933969224
817972;Wang Shaffer;828530064;O;-;F;15-04-1978;Ap #381-110 Eu Rd.;4858-123;Braga;Portugal;arcu.Curabitur@arcuSedeu.net;295128551;919367497
626738;Remedios Stephenson;978976740;AB;+;F;06-06-1965;Ap #220-3501 Risus. Rd.;4516-145;Coimbra;Portugal;primis.in@eratVivamusnisi.org;286745414;928311766
755492;Jaquelyn Leach;822968185;B;-;F;21-05-1957;Ap #315-8459 Lacinia. St.;4154-623;Porto;Portugal;eu.euismod@Fuscealiquetmagna.com;239573112;988272889
333174;Delilah Hull;368940472;B;-;M;07-02-1956;420-1321 Eu Street;4678-872;Lisboa;Portugal;Cras.eget@euaccumsansed.net;271126458;951957636
860152;Madonna Frazier;922625219;B;-;M;09-06-1973;1601 Eu Av.;4366-584;Coimbra;Portugal;volutpat.Nulla.dignissim@vestibulumneque.edu;274345566;929398111
396540;Phillip Crane;908835597;B;+;F;21-08-1992;Ap #256-1354 Penatibus Rd.;4921-317;Braga;Portugal;sollicitudin.adipiscing.ligula@Integertincidunt.net;279144362;961348745
838297;Zeph Hurst;140329084;B;-;F;06-07-1960;P.O. Box 111, 9527 Sed Rd.;4722-357;Guimarães;Portugal;enim.commodo.hendrerit@sitamet.org;265695443;987196348
660661;Barbara Chan;751339518;B;-;M;01-11-1984;581-8823 Metus. Avenue;4231-794;Porto;Portugal;malesuada.vel@tellusidnunc.co.uk;225463998;947466991
637451;Odessa Carpenter;990922067;A;-;F;16-03-1958;Ap #365-6550 Phasellus Road;4317-122;Porto;Portugal;nec.tempus@diamPellentesquehabitant.edu;284948831;944133639
979480;Mira Singleton;151925758;O;+;F;27-08-1980;636-5687 Amet, Ave;4238-464;Barcelos;Portugal;Nunc.mauris@aliquetodioEtiam.org;233862331;981919538
830157;Emmanuel Ballard;123348287;AB;+;M;23-11-1983;398-7582 Ut Street;4375-845;Coimbra;Portugal;Aliquam@ipsumnuncid.org;296534216;967592729
813774;Berk Guzman;527257587;O;+;F;18-12-1958;Ap #266-2821 Lobortis Rd.;4821-428;Lisboa;Portugal;ut@ornarefacilisiseget.co.uk;251142716;948193316
108578;Len Greer;976745584;AB;+;F;16-04-1968;660-1810 Est Rd.;4342-195;Lisboa;Portugal;vitae.diam.Proin@gravidamolestiearcu.net;244481689;984599732
508430;Mallory Best;915877007;B;-;M;14-08-1974;3170 Mauris St.;4766-719;Guimarães;Portugal;erat@necluctus.edu;233525828;965824966
231804;Aiko Figueroa;445866354;AB;-;M;24-08-1960;963-8945 Lobortis. Street;4466-992;Guimarães;Portugal;vulputate@euismod.edu;212753536;965967723
244459;Kim Simon;753123164;AB;+;F;27-10-1984;Ap #575-7563 Pellentesque St.;4492-173;Barcelos;Portugal;ipsum.non.arcu@diamlorem.org;232762373;925656587
158998;Lenore Tate;439657672;AB;-;M;10-11-1958;822-8142 Luctus Rd.;4968-846;Lisboa;Portugal;euismod.est@Namac.co.uk;218546894;955517554
633935;Isabelle Mckee;615649955;A;+;M;31-08-1991;394-5388 Malesuada Road;4552-335;Barcelos;Portugal;sodales@commodohendreritDonec.ca;282863976;973129961
811557;Beverly Willis;312271306;A;+;F;14-10-1960;P.O. Box 930, 2448 A Ave;4923-368;Barcelos;Portugal;Curae@euplacerateget.co.uk;237719592;969136647
406852;Stewart Mercer;980465699;AB;+;M;20-10-1968;240-2875 Dolor Av.;4838-552;Barcelos;Portugal;tristique@acrisus.com;211113467;951433727
360632;Cathleen Hinton;796407672;B;+;M;27-03-1977;628 Nec, Rd.;4372-899;Lisboa;Portugal;malesuada@amet.co.uk;252333141;919998695
633156;Ursa Stanton;419739931;O;-;F;28-01-1988;6258 Taciti St.;4765-654;Lisboa;Portugal;lacus.varius@eratEtiamvestibulum.edu;235948454;984159681
611615;Nyssa Glass;921404559;B;+;M;04-04-1987;P.O. Box 538, 9669 Nam Road;4791-937;Coimbra;Portugal;morbi.tristique@Morbi.com;257354954;992537368
170719;Brian Kennedy;641800049;AB;+;F;27-01-1979;Ap #508-6485 Taciti Avenue;4181-993;Porto;Portugal;Integer.id.magna@consectetuercursuset.ca;251176479;985922322
993325;Athena Wallace;529081785;B;+;F;16-10-1956;5412 Quisque Street;4137-815;Porto;Portugal;nisl.elementum@Sedmolestie.org;223648615;976414559
315147;Emma Petersen;315180997;AB;-;F;07-08-1973;Ap #558-8707 Tortor. Avenue;4646-794;Guimarães;Portugal;magnis@convallisantelectus.com;223738928;965287577
446031;Elijah Mcgee;949461994;B;-;M;12-06-1988;7640 Faucibus St.;4298-516;Coimbra;Portugal;Nunc.lectus@vulputate.com;286438661;925689282
742732;Michael Stanton;582977038;A;+;F;25-07-1973;1605 Quis Road;4437-174;Braga;Portugal;libero@magnaUttincidunt.com;262577783;973779875
755807;Yoko Singleton;187171412;AB;+;M;23-07-1973;4137 Nunc Road;4443-139;Porto;Portugal;est@diam.edu;274917891;955728849
724399;Perry Irwin;228900067;AB;-;M;07-04-1982;4698 Lacinia. Ave;4664-139;Lisboa;Portugal;libero@Quisque.com;263562243;974687584
517000;Madeson Mckenzie;534140342;O;+;M;17-02-1959;9310 Vestibulum St.;4325-252;Porto;Portugal;consectetuer.adipiscing@malesuada.net;295341335;924158592
309143;Aimee Cross;187206753;AB;-;M;30-03-1992;Ap #716-829 Sagittis Rd.;4682-541;Lisboa;Portugal;ac.eleifend@magna.ca;273188478;921329443
447880;Piper Ayala;447269881;B;-;F;27-04-1993;2050 Vitae, Ave;4924-156;Guimarães;Portugal;auctor.ullamcorper.nisl@maurisrhoncusid.net;292477456;986249742
811239;Hanna Edwards;176882649;O;+;F;25-07-1955;9763 Vulputate Av.;4985-971;Barcelos;Portugal;Sed.malesuada@nequevenenatislacus.edu;288428119;912567411
672750;Denton Jennings;978145379;AB;-;M;04-03-1993;P.O. Box 896, 8993 Enim Rd.;4444-921;Barcelos;Portugal;vulputate.posuere.vulputate@liberoProinmi.org;225761679;921163818
694678;Raja Humphrey;408008445;A;+;M;08-12-1987;1713 Cursus, Rd.;4171-652;Guimarães;Portugal;In.tincidunt.congue@lobortisultricesVivamus.net;289854715;977829945
626916;Hashim Oneill;389994692;AB;+;M;29-07-1966;P.O. Box 687, 328 Enim. Street;4739-426;Lisboa;Portugal;a.purus.Duis@Crasdolor.co.uk;292495753;956982585
616287;Lucian Mcgowan;962327538;A;-;M;29-03-1966;396-3011 At, Avenue;4213-597;Porto;Portugal;metus.facilisis@rutrum.net;226679933;961723127
468958;Madaline Richardson;280646880;A;-;M;10-09-1978;P.O. Box 663, 5485 Molestie Street;4984-798;Barcelos;Portugal;auctor@urnaVivamusmolestie.net;219841677;986499777
109991;Carter Hampton;978696689;AB;-;F;26-01-1979;797-879 Montes, Street;4711-685;Braga;Portugal;velit.Cras.lorem@eratvel.org;241399827;935181441
858461;Jameson Powell;985863408;B;+;M;26-09-1977;Ap #343-6025 At Road;4464-494;Coimbra;Portugal;netus@velturpisAliquam.org;235111332;977914742
652204;Orson Garrett;658387761;B;+;F;25-10-1982;2525 Suscipit, Rd.;4749-277;Lisboa;Portugal;molestie.Sed.id@orci.edu;211772118;981854751
548627;Bryar Neal;304847270;O;-;M;29-09-1977;937-3633 Ullamcorper Rd.;4173-844;Porto;Portugal;imperdiet.erat.nonummy@idrisusquis.com;286349794;999721664
246461;Paki Stewart;890118363;AB;+;M;21-09-1960;652-1557 Purus St.;4455-968;Guimarães;Portugal;dis@Nam.org;288274994;981144777
977222;Selma Guzman;569585139;B;-;M;15-05-1955;Ap #988-7250 Eu Avenue;4941-185;Braga;Portugal;Ut.nec@augue.ca;278223445;978777961
497887;Lilah Brennan;894076758;B;+;M;08-06-1979;Ap #501-3996 Suspendisse Road;4222-314;Coimbra;Portugal;eget.venenatis@nec.ca;224452896;964476872
692730;Jared Rush;797649897;B;+;M;15-04-1966;P.O. Box 133, 8200 Scelerisque St.;4342-747;Barcelos;Portugal;Nam.nulla.magna@mi.org;264254146;952441523
883619;Shelby Gardner;489323160;O;+;M;27-02-1984;Ap #871-7569 Quisque St.;4397-748;Lisboa;Portugal;ut@venenatis.net;235522721;941819115
131304;Tatum Rich;897701664;AB;-;M;01-07-1982;Ap #396-3147 Natoque Av.;4769-441;Porto;Portugal;ante.blandit@aliquamenimnec.edu;237568877;916195767
206370;Priscilla Jimenez;726007461;A;+;M;01-05-1968;298-4950 Pulvinar St.;4155-385;Barcelos;Portugal;eros.Nam.consequat@Suspendissealiquetsem.org;215883461;932683419
413020;Kylynn Barnes;114412566;A;+;M;28-10-1964;Ap #178-8928 Pede. Rd.;4354-456;Porto;Portugal;ultricies.sem@temporest.co.uk;242252282;968845579
969194;Axel Walter;358522073;B;+;F;06-11-1962;2294 Ac, Rd.;4131-373;Porto;Portugal;augue.eu@loremauctorquis.ca;228213835;935123887
788972;Hope Garcia;831202753;O;-;F;14-10-1971;878-9799 Mauris. Av.;4338-499;Lisboa;Portugal;et.rutrum@egestas.org;296258651;926746661
342803;Athena Walker;381256081;B;+;M;28-06-1958;406-3867 Enim Avenue;4948-888;Braga;Portugal;Lorem@facilisisSuspendissecommodo.ca;256975727;933584166
443206;Maggie Sanders;967761508;O;+;M;27-09-1965;P.O. Box 845, 1442 Donec St.;4954-997;Guimarães;Portugal;luctus.ipsum@Craseget.ca;247969696;951366971
908969;Craig Harper;506067174;AB;-;M;09-08-1960;P.O. Box 338, 4190 Curabitur Rd.;4798-922;Barcelos;Portugal;fermentum.arcu.Vestibulum@pharetra.net;264535976;992435692
815526;Whilemina Valdez;622398756;AB;-;M;14-09-1969;Ap #896-3829 Libero Rd.;4227-949;Porto;Portugal;ac@euelit.co.uk;259433743;928365116
572003;Sebastian Rasmussen;711064159;AB;+;F;29-12-1970;P.O. Box 340, 6290 Est. Avenue;4357-271;Coimbra;Portugal;orci.Ut.sagittis@consectetuerrhoncusNullam.com;298886242;992149611
523509;Buckminster Fulton;362085437;AB;+;F;16-06-1989;4731 Mi, St.;4339-663;Coimbra;Portugal;arcu.Aliquam.ultrices@acipsum.co.uk;221776462;957554517
634202;Dawn Farley;724161586;O;-;F;04-08-1977;340-238 Sem St.;4853-692;Coimbra;Portugal;vel@acmetusvitae.net;221535829;992578417
920888;Sade Calhoun;300741872;AB;+;F;10-11-1974;P.O. Box 212, 926 Eu, Av.;4655-617;Coimbra;Portugal;auctor@quisdiam.co.uk;251588936;997534876
496405;Jana Pace;712324520;O;+;M;12-10-1981;Ap #937-1350 Lorem, Street;4757-216;Porto;Portugal;non.leo.Vivamus@purus.edu;254772955;923653539
964282;Irma Dyer;409561536;O;-;M;20-02-1980;8456 Ipsum Rd.;4643-474;Lisboa;Portugal;metus.In.nec@Fuscefeugiat.co.uk;288671892;934843412
482228;Darryl Bass;226516858;B;+;F;17-12-1982;499-396 Nulla St.;4213-735;Porto;Portugal;nibh@placeratorci.net;269495551;983981322
550097;Wynter Wilkinson;177617754;O;+;M;03-09-1977;Rua em Obras (permanentemente);4133-665;Guimarães;Portugal;tellus.Suspendisse.sed@Nullamfeugiatplacerat.edu;296784648;915624466
923858;Vanna Davidson;641645227;O;+;F;08-08-1970;P.O. Box 799, 4403 Tortor. Road;4283-197;Lisboa;Portugal;eu.erat@aliquamiaculislacus.ca;247757119;941942282
103039;Iola Valdez;935738544;AB;+;F;09-08-1974;P.O. Box 782, 8822 Eu St.;4387-188;Coimbra;Portugal;a.feugiat@ultriciessemmagna.edu;237779558;982787221
106969;Abigail Chan;259531061;O;+;M;16-05-1978;425 Posuere Street;4343-556;Barcelos;Portugal;mi.Aliquam@montesnasceturridiculus.org;219539778;969752484
677854;Aubrey Keller;353733302;A;-;F;06-07-1985;431-343 Dolor. Road;4181-665;Barcelos;Portugal;a.facilisis@metus.ca;281721994;971248737
163507;Octavius Davenport;210478808;AB;+;M;04-07-1962;P.O. Box 609, 8110 Vel Rd.;4477-618;Lisboa;Portugal;Suspendisse.eleifend.Cras@lobortis.edu;255729437;966475954
343340;Hiram Walls;277771675;O;-;M;05-04-1962;Ap #233-8359 At Rd.;4732-892;Guimarães;Portugal;sagittis.semper.Nam@atnisi.co.uk;253487449;951949744
272329;Harper Chavez;175935714;AB;-;F;05-11-1990;911-5498 Magna. Av.;4178-947;Braga;Portugal;arcu.Aliquam.ultrices@ultricesVivamus.ca;281214613;964485846
853206;Ray Perkins;977375004;AB;+;F;16-03-1992;Ap #575-5619 Enim. Avenue;4632-159;Guimarães;Portugal;cursus.et.magna@Phasellusdapibus.ca;211747491;951163843
666428;Rosalyn Barron;444762286;AB;+;F;21-01-1967;476 Felis, St.;4525-681;Coimbra;Portugal;ligula.tortor.dictum@placeratvelit.org;281118254;954868295
160931;Sacha Hudson;763159341;A;-;M;19-04-1956;Ap #303-684 Tincidunt St.;4764-635;Braga;Portugal;eros@ligulaAeneaneuismod.com;235449927;925643532
357382;Jarrod Bruce;531950456;AB;+;M;31-10-1989;P.O. Box 907, 7495 Nec, St.;4344-493;Braga;Portugal;Nulla.tempor.augue@consectetuereuismodest.ca;267186457;942674317
248898;Kyla Rice;578264371;AB;+;M;06-04-1973;8158 Pede, Av.;4689-359;Coimbra;Portugal;sed@imperdietullamcorperDuis.co.uk;211757897;989678152
175748;Matthew Johns;406233673;B;+;F;31-08-1969;P.O. Box 730, 7232 Sagittis. Rd.;4625-499;Guimarães;Portugal;urna.convallis@Donecsollicitudinadipiscing.ca;271549272;974929191
292924;Stewart Witt;572064151;B;+;F;19-09-1981;842-1816 Pellentesque Ave;4587-115;Lisboa;Portugal;Donec@velitinaliquet.co.uk;241367388;979468466
343495;Ifeoma Cleveland;362279079;B;-;F;21-09-1973;8514 A Avenue;4919-661;Lisboa;Portugal;dictum.sapien@et.com;253191675;957252494
345649;Ezekiel Johnson;818724335;AB;-;F;15-08-1970;P.O. Box 323, 6479 Tempus, Rd.;4633-763;Barcelos;Portugal;dictum.eu.placerat@sed.co.uk;237319511;918753887
479369;Jerome Baldwin;781112047;B;-;M;04-03-1963;Ap #330-2331 Felis St.;4175-441;Braga;Portugal;Sed.diam.lorem@rutrumeuultrices.edu;281689187;981882121
178274;Tatum Reid;893242454;O;+;M;21-01-1960;Ap #474-9511 Molestie St.;4861-282;Barcelos;Portugal;eget.massa@nisisemsemper.co.uk;259118593;978852681
537588;Phoebe Beasley;493750875;O;-;F;22-03-1966;Ap #573-8104 Sit Ave;4944-372;Braga;Portugal;porttitor@justofaucibus.com;229242613;954222694
548711;Timothy Fernandez;467819069;A;+;F;20-03-1975;Ap #469-4681 Dolor Av.;4966-531;Porto;Portugal;dolor.quam@facilisisfacilisis.ca;215333886;953841629
419594;Hedwig Macdonald;890945820;O;+;F;10-03-1984;494-1045 Malesuada Street;4649-816;Barcelos;Portugal;aliquam.eros@Duisacarcu.co.uk;278338847;994499146
795652;Harrison Rollins;921313893;O;+;F;03-04-1957;P.O. Box 810, 9255 Et Rd.;4249-278;Braga;Portugal;gravida.Aliquam.tincidunt@Vestibulum.co.uk;248319446;953814324
196338;Hayfa Love;162271231;B;-;M;26-02-1965;Ap #669-4484 Consectetuer Avenue;4863-532;Barcelos;Portugal;Morbi.vehicula.Pellentesque@liberoettristique.net;278213114;946535284
393972;Lana Walker;883203217;B;-;M;20-11-1985;P.O. Box 704, 924 Urna. Avenue;4739-322;Guimarães;Portugal;Aenean@ornaresagittisfelis.edu;234149116;918563953
700791;Steel Oneill;209828639;B;+;M;21-11-1975;912-9218 Egestas Av.;4469-654;Barcelos;Portugal;egestas.urna@utmolestiein.edu;266163733;994296584
415985;Alvin Miranda;565253774;A;-;M;13-05-1982;4060 Orci. Avenue;4362-526;Barcelos;Portugal;posuere@sed.com;244385579;922773366
636760;Deacon Banks;909932726;AB;-;M;07-04-1987;P.O. Box 630, 6483 Donec St.;4189-786;Barcelos;Portugal;Curabitur.consequat.lectus@Pellentesquetincidunt.ca;228273513;946633362
877773;Madeline Watson;592650343;AB;-;F;09-10-1992;1433 Nec, Rd.;4553-893;Coimbra;Portugal;mus.Proin@ipsumac.edu;269745895;945568279
475680;Marcia Hendricks;384238335;B;-;M;28-03-1957;316 In, Road;4427-665;Porto;Portugal;ante.bibendum.ullamcorper@Aeneanegetmetus.ca;233677159;989316139
908869;Joan Wilcox;892043943;AB;-;F;15-06-1979;259-638 Nunc Av.;4728-251;Porto;Portugal;accumsan.sed.facilisis@justosit.edu;225461588;971498879
657579;Henry Cote;366853544;AB;-;F;12-01-1989;9691 Per Av.;4915-285;Braga;Portugal;orci@lobortisquama.ca;291169957;964166841
578254;Haley Durham;351075334;O;-;M;24-04-1959;496-9309 Aliquet Avenue;4826-824;Braga;Portugal;ipsum.nunc@aarcuSed.edu;247919151;916817735
714866;Uta Osborne;693343290;O;-;F;04-10-1988;9864 Magnis Rd.;4864-721;Porto;Portugal;lacinia.Sed@eteros.edu;241488362;958718392
626244;India Perry;312088941;B;-;F;20-05-1974;441 Lectus Rd.;4721-374;Guimarães;Portugal;est.ac@sit.ca;248347723;956664672
548835;Jenna Mcbride;521934170;AB;+;F;03-06-1979;313-6082 Vitae Av.;4975-156;Coimbra;Portugal;vel.est@velitduisemper.net;293271881;979745953
186182;Madison Carr;499920268;O;-;M;16-04-1960;P.O. Box 800, 237 Nulla. Road;4386-436;Guimarães;Portugal;et@gravida.com;237471781;942629584
279384;Clio Klein;752604246;AB;-;F;16-01-1979;P.O. Box 239, 7313 Leo. Av.;4631-966;Porto;Portugal;mi@nibhlacinia.org;278293739;966364255
341747;Nola Spencer;921366659;O;+;F;10-08-1983;153-6032 A Street;4426-366;Braga;Portugal;pellentesque.eget@sociisnatoque.co.uk;216176818;951511888
122216;Dylan Tucker;372693358;O;-;F;29-01-1987;2021 Nunc. Rd.;4647-591;Barcelos;Portugal;ipsum@Nunc.com;253475232;916529218
154931;Kadeem Bass;519943356;A;-;F;19-12-1961;9940 Ipsum. Road;4464-471;Braga;Portugal;a@sedpedenec.com;242522319;967369491
855034;Erasmus Savage;391642668;B;+;M;01-03-1964;Ap #151-9466 Id, Avenue;4221-768;Porto;Portugal;amet.dapibus@nectempusmauris.ca;228789858;917959195
541458;Anika Farmer;518897768;AB;+;M;24-05-1983;P.O. Box 692, 1146 Iaculis Road;4645-952;Coimbra;Portugal;eu@SuspendissesagittisNullam.net;219332359;911662549
858735;Athena Reyes;843397999;AB;+;M;16-06-1957;Ap #144-5120 Felis. Avenue;4134-979;Lisboa;Portugal;ligula.eu@faucibusMorbi.co.uk;249556932;916536415
656461;Ryan Waller;866499622;B;-;M;30-05-1983;P.O. Box 660, 7696 Metus Ave;4213-965;Guimarães;Portugal;a.felis.ullamcorper@rhoncusidmollis.ca;279527438;948584112
992497;Rebekah Madden;400405337;A;-;F;20-06-1980;P.O. Box 565, 3847 Vel Av.;4548-139;Braga;Portugal;pharetra.sed.hendrerit@Phasellus.co.uk;234686931;984345433
903457;Dolan Albert;912624599;AB;+;F;28-01-1960;6231 Vehicula Rd.;4789-125;Barcelos;Portugal;scelerisque.mollis.Phasellus@Duisvolutpat.org;256812774;957582846
436929;Quamar Larson;331751190;O;+;F;06-05-1962;696-5977 Ultricies Street;4335-441;Barcelos;Portugal;et@nec.co.uk;238711113;923294847
658669;Azalia Guy;496587670;O;-;M;02-09-1977;P.O. Box 694, 327 Enim Rd.;4872-218;Coimbra;Portugal;Sed@eleifendvitaeerat.com;218672439;996959792
957879;Paul Lara;250729234;O;-;M;23-07-1966;1010 Nascetur St.;4434-745;Braga;Portugal;mus.Donec@turpisAliquam.net;244898637;957241281
198652;Emerson Maddox;143231536;AB;-;M;21-10-1976;Ap #966-283 Turpis Avenue;4218-415;Lisboa;Portugal;sed.libero.Proin@semperegestas.ca;256913555;925244128
841930;Ian Mendez;649971259;AB;-;M;03-01-1967;P.O. Box 578, 5277 Quisque Rd.;4531-274;Coimbra;Portugal;non@aodiosemper.net;298716285;978855725
289320;Fiona Fisher;349558813;A;-;F;06-06-1976;P.O. Box 266, 9969 Quam. Rd.;4829-144;Porto;Portugal;placerat@aceleifendvitae.org;273172734;915727623
834560;Leigh Lucas;767657568;AB;+;M;20-01-1993;3223 At, St.;4361-927;Barcelos;Portugal;luctus.et.ultrices@semegestasblandit.org;251584654;925396278
888515;Justina Frye;130756449;AB;+;F;22-07-1982;2754 Pede, Avenue;4895-862;Barcelos;Portugal;aliquam.eros.turpis@Nunc.co.uk;251591425;917836755
388882;Moana Park;799808880;A;-;M;30-08-1959;Ap #990-1112 Laoreet, Av.;4627-549;Barcelos;Portugal;primis@dolorNullasemper.net;243763265;969162913
444392;Nigel Copeland;621795831;A;-;F;13-07-1988;Ap #752-6243 Semper Street;4494-373;Coimbra;Portugal;quam@Donecdignissim.ca;289625127;983478258
267892;Victor Bright;862253979;AB;+;F;24-01-1990;939-7326 Morbi St.;4776-977;Coimbra;Portugal;bibendum.ullamcorper.Duis@ante.org;268327246;914361569
821052;Branden Collier;427926479;O;+;M;18-06-1972;4892 Arcu. St.;4342-171;Lisboa;Portugal;mauris@tellus.org;298947383;935428956
218393;Garrett Peterson;231603531;AB;-;F;18-01-1963;2871 Nunc Street;4284-149;Coimbra;Portugal;cursus.et.magna@Proinmi.edu;252384121;964611526
540735;Roary Molina;201545618;B;+;M;08-10-1981;P.O. Box 628, 5015 In, Road;4398-427;Guimarães;Portugal;erat.volutpat.Nulla@Crasdictumultricies.org;248485332;921557983
993531;Amity Stanley;816086486;O;-;M;20-01-1969;1735 Id, St.;4367-988;Guimarães;Portugal;aliquet.molestie@risusodioauctor.ca;265322767;978313653
855509;Rebecca Kerr;411212439;AB;+;M;05-10-1978;P.O. Box 963, 2716 Elit, Av.;4128-369;Guimarães;Portugal;Etiam.imperdiet.dictum@enim.ca;299824376;913989149
937238;Tiger Berg;776189605;AB;+;F;14-07-1980;206-9453 Bibendum Ave;4853-897;Braga;Portugal;tincidunt.neque@adipiscinglobortis.edu;225836561;917759758
